"item","fragment","logNaO","logMgO","logAlO","logSiO","logKO","logCaO","logFeO"
"s4","f1",-0.6217,-1.3703,-1.6872,-0.1151,-2.4842,-1.067,-5.6603
"s4","f1",-0.6239,-1.3659,-1.6713,-0.1214,-2.5834,-1.0616,-5.3615
"s4","f1",-0.6268,-1.3646,-1.6811,-0.1216,-2.6634,-1.0646,-5.6634
"s4","f2",-0.6164,-1.3827,-1.7062,-0.161,-2.7762,-1.1279,-5.6793
"s4","f2",-0.6127,-1.371,-1.7096,-0.1724,-2.4787,-1.145,-5.3817
"s4","f2",-0.6173,-1.3778,-1.7198,-0.1598,-2.5996,-1.1286,-5.6788
"s4","f3",-0.6105,-1.3773,-1.7284,-0.1233,-2.6215,-1.0619,-5.6629
"s4","f3",-0.611,-1.3654,-1.7122,-0.1308,-5.6664,-1.0765,-5.3654
"s4","f3",-0.6127,-1.3797,-1.6876,-0.1192,-2.6608,-1.0512,-5.6608
"s4","f4",-0.6073,-1.3764,-1.7234,-0.2081,-2.6551,-1.1968,-5.6965
"s4","f4",-0.6101,-1.3865,-1.7538,-0.2096,-2.8532,-1.2013,-5.3972
"s4","f4",-0.6101,-1.3732,-1.7384,-0.2095,-2.6975,-1.2104,-5.6975
"s5","f1",-0.6102,-1.3655,-1.6778,-0.107,-2.5763,-1.0312,-5.6555
"s5","f1",-0.6085,-1.3688,-1.6904,-0.1164,-2.4828,-1.044,-5.3578
"s5","f1",-0.6075,-1.3799,-1.6736,-0.0528,-2.6279,-0.9324,-5.6279
"s5","f2",-0.6192,-1.3541,-1.7052,-0.1196,-2.5133,-1.018,-5.6594
"s5","f2",-0.6311,-1.3883,-1.694,-0.1258,-2.7082,-1.0064,-5.3614
"s5","f2",-0.612,-1.3665,-1.6834,-0.1119,-2.4805,-1.0272,-5.6566
"s5","f3",-0.6079,-1.3853,-1.7347,-0.1743,-2.839,-1.1501,-5.6841
"s5","f3",-0.6059,-1.3794,-1.7257,-0.1751,-2.7305,-1.1597,-5.3837
"s5","f3",-0.6038,-1.3723,-1.725,-0.1774,-2.7298,-1.1577,-5.684
"s5","f4",-0.6122,-1.3563,-1.6528,-0.0772,-2.5256,-0.9521,-5.6396
"s5","f4",-0.6111,-1.3576,-1.6633,-0.0696,-2.4903,-0.948,-5.3354
"s5","f4",-0.6099,-1.362,-1.6794,-0.0749,-2.4624,-0.972,-5.6385
"s6","f1",-0.6976,-1.4986,-1.5155,-0.1712,-1.75,-1.2046,-2.6153
"s6","f1",-0.702,-1.4944,-1.4999,-0.1755,-1.7613,-1.1866,-5.6958
"s6","f1",-0.7002,-1.4881,-1.4881,-0.1746,-1.7605,-1.1912,-5.695
"s6","f2",-0.6382,-1.4822,-1.4903,-0.189,-1.7674,-1.1427,-5.6917
"s6","f2",-0.6306,-1.465,-1.4757,-0.1706,-1.7283,-1.1062,-5.3815
"s6","f2",-0.6273,-1.4531,-1.4558,-0.1418,-1.7311,-1.0568,-5.6706
"s6","f3",-0.6345,-1.4613,-1.486,-0.1473,-1.7004,-1.0714,-2.4694
"s6","f3",-0.6364,-1.4714,-1.5175,-0.2084,-1.8017,-1.1769,-5.6993
"s6","f3",-0.6363,-1.4697,-1.5291,-0.2243,-1.8478,-1.196,-5.7052
"s6","f4",-0.6298,-1.4519,-1.5172,-0.1811,-1.7479,-1.1323,-5.6874
"s6","f4",-0.6406,-1.4626,-1.4954,-0.1608,-1.7163,-1.0879,-5.379
"s6","f4",-0.6319,-1.4456,-1.5158,-0.1777,-1.7723,-1.1238,-5.6861
"s7","f1",-0.905,-2.6311,-1.7792,-0.103,-0.7415,-5.2843,-5.5853
"s7","f1",-0.91,-5.5876,-1.7551,-0.1053,-0.7487,-5.5876,-5.2866
"s7","f1",-0.9059,-5.5907,-1.7983,-0.1129,-0.7481,-5.5907,-5.5907
"s7","f2",-0.9117,-5.3208,-1.8089,-0.1657,-0.8177,-5.3208,-5.6218
"s7","f2",-0.9127,-5.6337,-1.8208,-0.1884,-0.8562,-5.6337,-5.3326
"s7","f2",-0.915,-2.67,-1.8114,-0.1696,-0.8284,-5.6243,-5.6243
"s7","f3",-0.9141,-5.2815,-1.7901,-0.0995,-0.7313,-5.2815,-5.5825
"s7","f3",-0.9049,-5.2815,-1.7313,-0.0979,-0.7313,-5.5825,-5.2815
"s7","f3",-0.9046,-5.5867,-1.7542,-0.1061,-0.7466,-5.5867,-5.5867
"s7","f4",-0.9002,-2.6061,-1.7999,-0.1361,-0.7892,-5.305,-5.6061
"s7","f4",-0.9059,-5.6057,-1.7545,-0.1355,-0.7882,-5.6057,-5.3047
"s7","f4",-0.906,-2.5232,-1.7635,-0.1304,-0.7789,-5.6024,-5.6024
"s8","f1",-0.8336,-5.2585,-1.6787,-0.0864,-0.9322,-5.2585,-5.5595
"s8","f1",-0.8312,-5.5447,-1.6814,-0.068,-0.8886,-5.5447,-5.2437
"s8","f1",-0.8397,-5.5532,-1.6501,-0.08,-0.9157,-5.5532,-5.5532
"s8","f2",-0.8159,-5.574,-1.6819,-0.111,-0.9655,-5.273,-5.574
"s8","f2",-0.8483,-5.5709,-1.7076,-0.104,-0.9549,-5.5709,-5.2699
"s8","f2",-0.8297,-5.2635,-1.6725,-0.0953,-0.9455,-5.5645,-5.5645
"s8","f3",-0.8327,-5.3003,-1.7092,-0.1549,-1.0192,-5.3003,-5.6013
"s8","f3",-0.8264,-5.6031,-1.7281,-0.1574,-1.0326,-5.6031,-5.3021
"s8","f3",-0.8332,-5.5928,-1.6583,-0.1397,-0.9985,-5.5928,-5.5928
"s8","f4",-0.8162,-5.2875,-1.6642,-0.1332,-1.0087,-5.2875,-5.5885
"s8","f4",-0.8133,-5.5951,-1.7142,-0.1453,-1.0051,-5.5951,-5.294
"s8","f4",-0.8209,-5.5888,-1.6967,-0.1346,-0.9911,-5.5888,-5.5888
"s9","f1",-0.9122,-5.3145,-1.8026,-0.149,-0.81,-5.3145,-5.6155
"s9","f1",-0.9088,-5.6103,-1.7652,-0.1426,-0.7954,-5.6103,-5.3093
"s9","f1",-0.9084,-5.6176,-1.7725,-0.1554,-0.8204,-5.6176,-5.6176
"s9","f2",-0.9064,-5.3104,-1.7541,-0.1475,-0.8012,-5.3104,-5.6114
"s9","f2",-0.898,-5.6141,-1.8011,-0.1488,-0.8154,-5.6141,-5.313
"s9","f2",-0.9003,-5.6018,-1.7693,-0.1291,-0.7725,-5.6018,-5.6018
"s9","f3",-0.9078,-2.5367,-1.7456,-0.0923,-0.7274,-5.277,-5.5781
"s9","f3",-0.9026,-5.5775,-1.7514,-0.0878,-0.7208,-5.5775,-5.2765
"s9","f3",-0.9055,-5.5975,-1.7524,-0.1231,-0.7643,-5.5975,-5.5975
"s9","f4",-0.906,-5.6178,-1.7918,-0.1556,-0.8227,-5.3168,-5.6178
"s9","f4",-0.9074,-5.6184,-1.7733,-0.1587,-0.817,-5.6184,-5.3173
"s9","f4",-0.9143,-5.3174,-1.7924,-0.1558,-0.8136,-5.6185,-5.6185
"s10","f1",-0.8398,-5.3241,-1.7275,-0.1912,-1.0848,-5.3241,-5.6251
"s10","f1",-0.8268,-5.6079,-1.7566,-0.1618,-1.0516,-5.6079,-5.3069
"s10","f1",-0.8318,-5.6228,-1.7363,-0.1923,-1.0751,-5.6228,-5.6228
"s10","f2",-0.8387,-5.2811,-1.6901,-0.1193,-0.9867,-5.2811,-5.5822
"s10","f2",-0.8347,-5.5867,-1.6782,-0.1284,-0.9956,-5.5867,-5.2857
"s10","f2",-0.8288,-5.5816,-1.6522,-0.1198,-0.9905,-5.5816,-5.5816
"s10","f3",-0.8291,-2.5042,-1.6489,-0.124,-0.998,-5.2824,-5.5834
"s10","f3",-0.8256,-5.5776,-1.6585,-0.1145,-0.9788,-5.5776,-5.2766
"s10","f3",-0.825,-5.5778,-1.6383,-0.1136,-0.9901,-5.5778,-5.5778
"s10","f4",-0.8249,-5.3078,-1.7058,-0.1664,-1.0611,-5.3078,-5.6088
"s10","f4",-0.8296,-5.607,-1.7149,-0.1642,-1.0519,-5.607,-5.306
"s10","f4",-0.8361,-5.6128,-1.732,-0.1714,-1.0613,-5.6128,-5.6128
"s11","f1",-0.904,-2.4829,-1.7456,-0.1217,-0.7746,-5.2958,-5.5968
"s11","f1",-0.9062,-2.6413,-1.8102,-0.1191,-0.7675,-5.5955,-5.2945
"s11","f1",-0.9103,-5.5587,-1.7458,-0.0636,-0.6773,-5.5587,-5.5587
"s11","f2",-0.9038,-5.5675,-1.748,-0.0754,-0.7036,-5.2665,-5.5675
"s11","f2",-0.9098,-5.6096,-1.7707,-0.1407,-0.796,-5.6096,-5.3086
"s11","f2",-0.8894,-2.5884,-1.7495,-0.1071,-0.7514,-5.5884,-5.5884
"s11","f3",-0.904,-2.4829,-1.7456,-0.1217,-0.7746,-5.2958,-5.5968
"s11","f3",-0.9062,-2.6413,-1.8102,-0.1191,-0.7675,-5.5955,-5.2945
"s11","f3",-0.9103,-5.5587,-1.7458,-0.0636,-0.6773,-5.5587,-5.5587
"s11","f4",-0.9127,-5.6271,-1.8489,-0.169,-0.8368,-5.6271,-5.6271
"s11","f4",-0.91,-5.6243,-1.8181,-0.167,-0.8284,-5.6243,-5.3233
"s11","f4",-0.9075,-2.6718,-1.8336,-0.1698,-0.8421,-2.5121,-5.626
"s12","f1",-0.9088,-2.6164,-1.7356,-0.1547,-0.8102,-5.6164,-5.6164
"s12","f1",-0.9103,-5.617,-1.7362,-0.1545,-0.8163,-2.4129,-5.316
"s12","f1",-0.9103,-5.617,-1.7362,-0.1545,-0.8163,-2.4129,-5.617
"s12","f2",-0.9296,-5.6363,-1.785,-0.1873,-0.8467,-5.3353,-5.6363
"s12","f2",-0.9187,-5.6026,-1.8173,-0.1307,-0.7695,-5.6026,-5.3016
"s12","f2",-0.9123,-2.65,-1.7234,-0.1326,-0.7906,-5.6042,-5.6042
"s12","f3",-0.9296,-5.6363,-1.785,-0.1873,-0.8467,-5.3353,-5.6363
"s12","f3",-0.9187,-5.6026,-1.8173,-0.1307,-0.7695,-5.6026,-5.3016
"s12","f3",-0.9123,-2.65,-1.7234,-0.1326,-0.7906,-5.6042,-5.6042
"s12","f4",-0.9088,-2.6164,-1.7356,-0.1547,-0.8102,-5.6164,-5.6164
"s12","f4",-0.9103,-5.617,-1.7362,-0.1545,-0.8163,-2.4129,-5.316
"s12","f4",-0.9103,-5.617,-1.7362,-0.1545,-0.8163,-2.4129,-5.617
"s13","f1",-0.9317,-5.5781,-1.659,-0.0935,-0.7177,-5.5781,-5.5781
"s13","f1",-0.9381,-5.598,-1.6737,-0.1177,-0.7604,-2.5188,-5.297
"s13","f1",-0.9403,-5.2788,-1.6453,-0.0959,-0.7141,-5.5798,-5.5798
"s13","f2",-0.9245,-5.2669,-1.6872,-0.0777,-0.6866,-5.2669,-5.568
"s13","f2",-0.941,-5.5794,-1.7161,-0.0964,-0.7155,-5.5794,-5.2784
"s13","f2",-0.9158,-5.5603,-1.6969,-0.0633,-0.6665,-5.5603,-5.5603
"s13","f3",-0.9295,-5.5759,-1.6951,-0.0897,-0.7096,-5.5759,-5.5759
"s13","f3",-0.9235,-5.5729,-1.6978,-0.0891,-0.7113,-5.2718,-5.2718
"s13","f3",-0.9059,-2.4594,-1.6868,-0.0909,-0.7166,-5.5733,-5.5733
"s13","f4",-0.8958,-5.2841,-1.7526,-0.1414,-0.7425,-5.2841,-5.5851
"s13","f4",-0.9207,-5.5984,-1.7658,-0.1515,-0.7601,-5.5984,-5.2973
"s13","f4",-0.9004,-5.5933,-1.7672,-0.1469,-0.7551,-5.5933,-5.5933
"s14","f1",-0.6009,-1.3485,-1.6785,-0.1019,-2.6974,-1.0305,-5.6517
"s14","f1",-0.6009,-1.3494,-1.6707,-0.0853,-2.5299,-1.0024,-5.3428
"s14","f1",-0.6034,-1.3478,-1.658,-0.0591,-2.427,-0.9508,-5.6311
"s14","f2",-0.6023,-1.3501,-1.6799,-0.1143,-2.7034,-1.0534,-5.6576
"s14","f2",-0.6096,-1.3697,-1.6957,-0.1277,-2.7611,-1.0698,-5.3631
"s14","f2",-0.6061,-1.3688,-1.6764,-0.1455,-2.7689,-1.1145,-5.672
"s14","f3",-0.6102,-1.3732,-1.7191,-0.1722,-2.8378,-1.14,-5.6829
"s14","f3",-0.6112,-1.3802,-1.716,-0.2092,-2.9201,-1.2168,-5.3972
"s14","f3",-0.6091,-1.3891,-1.7354,-0.1994,-2.8493,-1.1947,-5.6944
"s14","f4",-0.6142,-1.3552,-1.654,-0.0992,-2.5035,-0.9945,-5.6496
"s14","f4",-0.6075,-1.3419,-1.6742,-0.0929,-2.4432,-1.0028,-5.3463
"s14","f4",-0.611,-1.3618,-1.6858,-0.0962,-2.5035,-1.0111,-5.6496
"s15","f1",-0.684,-1.367,-1.7649,-0.1906,-1.9435,-1.1529,-5.6994
"s15","f1",-0.684,-1.367,-1.7649,-0.1906,-1.9435,-1.1529,-5.6994
"s15","f1",-0.6763,-1.3436,-1.732,-0.1874,-1.9177,-1.1456,-2.5819
"s15","f2",-0.6326,-1.3498,-1.7269,-0.2063,-1.9757,-1.1935,-5.7
"s15","f2",-0.6401,-1.3822,-1.7863,-0.2302,-2.0116,-1.2277,-5.7105
"s15","f2",-0.6412,-1.3606,-1.7815,-0.2338,-1.9866,-1.2309,-2.7109
"s15","f3",-0.6345,-1.3396,-1.7015,-0.1316,-1.8571,-1.0745,-5.67
"s15","f3",-0.6342,-1.3679,-1.7387,-0.1383,-1.8739,-1.0701,-5.3722
"s15","f3",-0.6442,-1.3575,-1.79,-0.2133,-1.9634,-1.1788,-5.7038
"s15","f4",-0.6295,-1.355,-1.718,-0.1159,-1.7874,-1.0413,-5.6625
"s15","f4",-0.6298,-1.3481,-1.741,-0.1573,-1.9024,-1.11,-5.3795
"s15","f4",-0.6309,-1.3363,-1.6989,-0.1169,-1.8366,-1.0363,-5.6627
"s16","f1",-0.9164,-1.7767,-1.3837,-0.1002,-0.9986,-1.4727,-5.6341
"s16","f1",-0.9167,-1.7712,-1.3475,-0.0923,-0.9762,-1.4671,-5.6285
"s16","f1",-0.9194,-1.7408,-1.3518,-0.0992,-0.9944,-1.451,-5.6329
"s16","f2",-0.6563,-1.3591,-1.7284,-0.1457,-1.8736,-0.9722,-2.5937
"s16","f2",-0.6457,-1.3706,-1.7428,-0.1692,-1.8899,-1.0243,-5.6823
"s16","f2",-0.655,-1.3729,-1.7444,-0.1841,-1.9407,-1.0271,-5.6889
"s16","f3",-0.9138,-1.8168,-1.3225,-0.1133,-0.9939,-1.4405,-5.6364
"s16","f3",-0.912,-1.7804,-1.3095,-0.0951,-0.9713,-1.4465,-5.3245
"s16","f3",-0.9187,-1.7523,-1.3213,-0.1075,-0.9876,-1.4372,-5.6331
"s16","f4",-0.915,-1.832,-1.3311,-0.1284,-1.0145,-1.466,-5.6449
"s16","f4",-0.9129,-1.8292,-1.3219,-0.123,-0.9996,-1.466,-5.341
"s16","f4",-0.9218,-1.8532,-1.3581,-0.1407,-1.0345,-1.4298,-5.6525
"s17","f1",-0.602,-1.4163,-1.613,-0.1649,-1.9103,-1.1561,-2.5672
"s17","f1",-0.5973,-1.4173,-1.607,-0.1317,-1.9195,-1.1114,-5.6677
"s17","f1",-0.5962,-1.4013,-1.6271,-0.1347,-1.8903,-1.1098,-5.6685
"s17","f2",-0.6056,-1.3958,-1.5828,-0.1095,-1.8388,-1.065,-5.6583
"s17","f2",-0.6086,-1.4073,-1.6029,-0.1284,-1.8544,-1.1015,-5.6674
"s17","f2",-0.5969,-1.3997,-1.598,-0.1053,-1.8626,-1.0443,-2.4789
"s17","f3",-0.605,-1.3977,-1.6105,-0.1577,-1.9463,-1.1472,-5.6787
"s17","f3",-0.604,-1.4268,-1.5955,-0.1288,-1.9039,-1.1027,-5.3663
"s17","f3",-0.6065,-1.4119,-1.6141,-0.1285,-1.861,-1.0978,-5.6672
"s17","f4",-0.6048,-1.4094,-1.6106,-0.1114,-1.8403,-1.0732,-5.6598
"s17","f4",-0.6039,-1.431,-1.6214,-0.1102,-1.8595,-1.0568,-2.4547
"s17","f4",-0.6035,-1.413,-1.5966,-0.0986,-1.834,-1.0407,-5.6535
"s18","f1",-0.9225,-1.7817,-1.3861,-0.1332,-1.0266,-1.5079,-5.6509
"s18","f1",-0.9214,-1.8198,-1.4072,-0.1564,-1.0618,-1.551,-5.3639
"s18","f1",-0.9244,-1.7552,-1.3607,-0.0962,-0.9789,-1.4659,-5.6302
"s18","f2",-0.9692,-1.8688,-1.3596,-0.1208,-1.0216,-1.5607,-5.6541
"s18","f2",-0.9621,-1.8161,-1.3561,-0.1227,-1.0327,-1.5722,-5.3539
"s18","f2",-0.9634,-1.8156,-1.3534,-0.124,-1.0281,-1.5789,-5.6545
"s18","f3",-0.9692,-1.8688,-1.3596,-0.1208,-1.0216,-1.5607,-5.6541
"s18","f3",-0.9621,-1.8161,-1.3561,-0.1227,-1.0327,-1.5722,-5.3539
"s18","f3",-0.9634,-1.8156,-1.3534,-0.124,-1.0281,-1.5789,-5.6545
"s18","f4",-0.9225,-1.7817,-1.3861,-0.1332,-1.0266,-1.5079,-5.6509
"s18","f4",-0.9214,-1.8198,-1.4072,-0.1564,-1.0618,-1.551,-5.3639
"s18","f4",-0.9244,-1.7552,-1.3607,-0.0962,-0.9789,-1.4659,-5.6302
"s19","f1",-0.611,-1.4321,-1.6218,-0.1636,-1.9665,-1.151,-5.6825
"s19","f1",-0.6087,-1.4185,-1.6128,-0.1611,-1.9567,-1.1546,-2.567
"s19","f1",-0.6127,-1.4331,-1.6294,-0.1519,-1.9078,-1.1459,-5.6786
"s19","f2",-0.6092,-1.429,-1.6126,-0.1318,-1.9291,-1.112,-2.5234
"s19","f2",-0.6078,-1.4314,-1.6301,-0.1564,-1.9311,-1.1517,-2.6379
"s19","f2",-0.6142,-1.4209,-1.6082,-0.1329,-1.8559,-1.0823,-5.6689
"s19","f3",-0.6108,-1.4106,-1.6194,-0.1585,-1.9477,-1.1435,-5.6801
"s19","f3",-0.6067,-1.4406,-1.6128,-0.1258,-1.8463,-1.0872,-2.4898
"s19","f3",-0.6165,-1.4426,-1.6274,-0.176,-1.9557,-1.1735,-2.512
"s19","f4",-0.6061,-1.4282,-1.6269,-0.149,-1.898,-1.1308,-3.0741
"s19","f4",-0.6067,-1.4179,-1.6149,-0.1498,-1.9513,-1.1241,-2.5617
"s19","f4",-0.6082,-1.4442,-1.6397,-0.1508,-1.9137,-1.1294,-5.6772
"s20","f1",-0.9285,-1.7938,-1.3392,-0.0709,-0.924,-1.4092,-5.6133
"s20","f1",-0.9224,-1.7948,-1.3449,-0.0742,-0.9359,-1.3995,-5.3133
"s20","f1",-0.915,-1.7424,-1.3456,-0.08,-0.9462,-1.4271,-5.6174
"s20","f2",-0.9259,-1.7544,-1.3999,-0.1414,-1.0479,-1.537,-5.6575
"s20","f2",-0.9187,-1.7577,-1.4037,-0.1579,-1.0773,-1.5762,-5.3651
"s20","f2",-0.9288,-1.8038,-1.387,-0.1473,-1.0473,-1.5472,-5.6611
"s20","f3",-0.917,-1.7652,-1.3855,-0.1435,-1.0424,-1.5434,-5.6573
"s20","f3",-0.9192,-1.7748,-1.3861,-0.1382,-1.0525,-1.5157,-5.3546
"s20","f3",-0.9251,-1.7753,-1.3809,-0.1098,-1.0001,-1.4802,-5.6386
"s20","f4",-0.9162,-1.7782,-1.3388,-0.1034,-0.991,-1.4771,-5.6355
"s20","f4",-0.9146,-1.7621,-1.3665,-0.1191,-1.0176,-1.5062,-5.3419
"s20","f4",-0.9087,-1.7305,-1.3588,-0.122,-1.0232,-1.5013,-5.6443
"s21","f1",-0.6173,-1.3994,-1.6111,-0.1307,-1.7099,-1.0062,-5.6642
"s21","f1",-0.6214,-1.4328,-1.6458,-0.1727,-1.7856,-1.0833,-2.604
"s21","f1",-0.6207,-1.4141,-1.6328,-0.1809,-1.8051,-1.0915,-5.6859
"s21","f2",-0.6193,-1.4059,-1.62,-0.1507,-1.754,-1.0437,-5.6731
"s21","f2",-0.6139,-1.3909,-1.6266,-0.1483,-1.7688,-1.0405,-5.3709
"s21","f2",-0.6149,-1.3855,-1.6119,-0.1449,-1.705,-1.0136,-5.6688
"s21","f3",-0.6193,-1.3986,-1.6101,-0.1025,-1.6783,-0.9465,-5.6515
"s21","f3",-0.6133,-1.4033,-1.6172,-0.1183,-1.7141,-0.9801,-5.3576
"s21","f3",-0.6181,-1.3958,-1.5731,-0.0992,-1.6275,-0.9335,-5.6487
"s21","f4",-0.6149,-1.4038,-1.6202,-0.1509,-1.7648,-1.05,-5.6733
"s21","f4",-0.6209,-1.4092,-1.5938,-0.1414,-1.745,-1.0269,-5.3683
"s21","f4",-0.6262,-1.3985,-1.6273,-0.148,-1.7642,-1.0272,-5.6727
"s22","f1",-0.9132,-5.3023,-1.4763,-0.1349,-0.804,-5.3023,-5.6034
"s22","f1",-0.9226,-5.6038,-1.4735,-0.1334,-0.8107,-5.6038,-5.3028
"s22","f1",-0.9172,-5.6038,-1.4546,-0.1359,-0.8107,-5.6038,-5.6038
"s22","f2",-0.9294,-5.3368,-1.5514,-0.1787,-0.8857,-5.6378,-5.6378
"s22","f2",-0.9207,-5.6316,-1.5863,-0.1745,-0.8804,-5.3306,-5.3306
"s22","f2",-0.9207,-5.6316,-1.5863,-0.1745,-0.8804,-5.6316,-5.6316
"s22","f3",-0.9134,-2.5822,-1.5372,-0.1628,-0.8624,-5.3225,-5.6236
"s22","f3",-0.9168,-5.6361,-1.5569,-0.1878,-0.8926,-5.6361,-5.3351
"s22","f3",-0.9282,-5.6184,-1.5112,-0.1536,-0.8468,-5.6184,-5.6184
"s22","f4",-0.919,-5.2919,-1.5399,-0.1122,-0.7888,-5.2919,-5.593
"s22","f4",-0.9214,-5.5688,-1.5196,-0.0713,-0.7382,-5.5688,-5.2678
"s22","f4",-0.9151,-5.5635,-1.499,-0.0626,-0.7323,-5.5635,-5.5635
"s23","f1",-0.6315,-1.3258,-1.6347,-0.1593,-1.6675,-1.0686,-5.6761
"s23","f1",-0.6196,-1.3189,-1.6316,-0.1607,-1.6774,-1.0426,-5.372
"s23","f1",-0.6261,-1.3278,-1.6776,-0.1774,-1.6862,-1.0766,-5.6819
"s23","f2",-0.6147,-1.3498,-1.6935,-0.1714,-1.6846,-1.0948,-2.5663
"s23","f2",-0.6131,-1.3379,-1.663,-0.1819,-1.7111,-1.1102,-5.6842
"s23","f2",-0.6131,-1.3334,-1.6861,-0.1745,-1.7275,-1.0951,-5.6817
"s23","f3",-0.6128,-1.3196,-1.6408,-0.1308,-1.6534,-1.0205,-5.662
"s23","f3",-0.6204,-1.3349,-1.683,-0.1345,-1.6525,-1.014,-5.3643
"s23","f3",-0.6217,-1.333,-1.6631,-0.1406,-1.634,-1.03,-5.6675
"s23","f4",-0.6289,-1.3133,-1.6025,-0.1063,-1.5654,-0.9732,-5.6518
"s23","f4",-0.6281,-1.3058,-1.6351,-0.1086,-1.5877,-0.9646,-2.4217
"s23","f4",-0.6289,-1.3154,-1.643,-0.1141,-1.6066,-0.9856,-5.6558
"s24","f1",-0.9302,-5.29,-1.5576,-0.1093,-0.7876,-5.29,-5.5911
"s24","f1",-0.9219,-5.5931,-1.5719,-0.1131,-0.7972,-5.5931,-5.292
"s24","f1",-0.9363,-5.6047,-1.5633,-0.1293,-0.8109,-5.6047,-5.6047
"s24","f2",-0.9122,-5.311,-1.5909,-0.1452,-0.826,-5.612,-5.612
"s24","f2",-0.7095,-5.6115,-1.5741,-0.1426,-0.8212,-5.3105,-5.3105
"s24","f2",-0.9189,-5.6082,-1.5912,-0.1353,-0.8123,-5.6082,-5.6082
"s24","f3",-0.9247,-5.3226,-1.6151,-0.161,-0.8625,-5.6237,-5.6237
"s24","f3",-0.9281,-5.621,-1.5718,-0.1581,-0.8659,-5.3199,-5.3199
"s24","f3",-0.9335,-5.6273,-1.5938,-0.1683,-0.876,-5.6273,-5.6273
"s24","f4",-0.9276,-5.2913,-1.588,-0.1086,-0.7848,-5.5923,-5.5923
"s24","f4",-0.9176,-5.6113,-1.5901,-0.1432,-0.8331,-5.3103,-5.3103
